theme,symbol,clean_symbol
Copper,ADANIENT.NS,ADANIENT
Copper,BHAGYANGR.NS,BHAGYANGR
Copper,HINDALCO.NS,HINDALCO
Copper,HINDCOPPER.NS,HINDCOPPER
Copper,PRECWIRE.NS,PRECWIRE
Defence & Aerospace,ASTRAMICRO.NS,ASTRAMICRO
Defence & Aerospace,BDL.NS,BDL
Defence & Aerospace,BEL.NS,BEL
Defence & Aerospace,COCHINSHIP.NS,COCHINSHIP
Defence & Aerospace,DATAPATTNS.NS,DATAPATTNS
Defence & Aerospace,DCXINDIA.NS,DCXINDIA
Defence & Aerospace,GRSE.NS,GRSE
Defence & Aerospace,HAL.NS,HAL
Defence & Aerospace,IDEAFORGE.NS,IDEAFORGE
Defence & Aerospace,KRISHNADEF.NS,KRISHNADEF
Defence & Aerospace,MAZDOCK.NS,MAZDOCK
Defence & Aerospace,MTARTECH.NS,MTARTECH
Defence & Aerospace,PARAS.NS,PARAS
Defence & Aerospace,SOLARINDS.NS,SOLARINDS
Defence & Aerospace,ZENTEC.NS,ZENTEC
Railways & Infrastructure,BEML.NS,BEML
Railways & Infrastructure,CONCOR.NS,CONCOR
Railways & Infrastructure,IRCON.NS,IRCON
Railways & Infrastructure,IRCTC.NS,IRCTC
Railways & Infrastructure,IRFC.NS,IRFC
Railways & Infrastructure,JWL.NS,JWL
Railways & Infrastructure,RAILTEL.NS,RAILTEL
Railways & Infrastructure,RITES.NS,RITES
Railways & Infrastructure,RVNL.NS,RVNL
Railways & Infrastructure,TEXRAIL.NS,TEXRAIL
Railways & Infrastructure,TITAGARH.NS,TITAGARH
Power T&D,ADANIENSOL.NS,ADANIENSOL
Power T&D,APARINDS.NS,APARINDS
Power T&D,CGPOWER.NS,CGPOWER
Power T&D,ENRIN.NS,ENRIN
Power T&D,GENUSPOWER.NS,GENUSPOWER
Power T&D,GVT&D.NS,GVT&D
Power T&D,KEC.NS,KEC
Power T&D,KPIL.NS,KPIL
Power T&D,POWERGRID.NS,POWERGRID
Power T&D,POWERINDIA.NS,POWERINDIA
Power T&D,QPOWER.NS,QPOWER
Power T&D,SCHNEIDER.NS,SCHNEIDER
Power T&D,SIEMENS.NS,SIEMENS
Power T&D,SKIPPER.NS,SKIPPER
Power T&D,TRANSRAILL.NS,TRANSRAILL
Power T&D,VOLTAMP.NS,VOLTAMP
Life Insurance,HDFCLIFE.NS,HDFCLIFE
Life Insurance,ICICIPRULI.NS,ICICIPRULI
Life Insurance,LICI.NS,LICI
Life Insurance,MFSL.NS,MFSL
Life Insurance,SBILIFE.NS,SBILIFE
General Insurance,GICRE.NS,GICRE
General Insurance,GODIGIT.NS,GODIGIT
General Insurance,ICICIGI.NS,ICICIGI
General Insurance,MEDIASSIST.NS,MEDIASSIST
General Insurance,NIACL.NS,NIACL
General Insurance,NIVABUPA.NS,NIVABUPA
General Insurance,STARHEALTH.NS,STARHEALTH
Private Banking,AUBANK.NS,AUBANK
Private Banking,AXISBANK.NS,AXISBANK
Private Banking,BANDHANBNK.NS,BANDHANBNK
Private Banking,FEDERALBNK.NS,FEDERALBNK
Private Banking,HDFCBANK.NS,HDFCBANK
Private Banking,ICICIBANK.NS,ICICIBANK
Private Banking,IDFCFIRSTB.NS,IDFCFIRSTB
Private Banking,INDUSINDBK.NS,INDUSINDBK
Private Banking,J&KBANK.NS,J&KBANK
Private Banking,KARURVYSYA.NS,KARURVYSYA
Private Banking,KOTAKBANK.NS,KOTAKBANK
Private Banking,RBLBANK.NS,RBLBANK
Private Banking,YESBANK.NS,YESBANK
PSU Banking,BANKBARODA.NS,BANKBARODA
PSU Banking,BANKINDIA.NS,BANKINDIA
PSU Banking,CANBK.NS,CANBK
PSU Banking,CENTRALBK.NS,CENTRALBK
PSU Banking,INDIANB.NS,INDIANB
PSU Banking,IOB.NS,IOB
PSU Banking,MAHABANK.NS,MAHABANK
PSU Banking,PNB.NS,PNB
PSU Banking,PSB.NS,PSB
PSU Banking,SBIN.NS,SBIN
PSU Banking,UCOBANK.NS,UCOBANK
PSU Banking,UNIONBANK.NS,UNIONBANK
Housing Finance,AADHARHFC.NS,AADHARHFC
Housing Finance,AAVAS.NS,AAVAS
